cpu percent, memory percent
0.0,1.602602005
0.1,1.60231590271
8.1,1.60450935364
30.3,1.6054391861
26.1,1.61895751953
24.7,1.62060260773
26.1,1.62117481232
15.7,1.6215801239
18.5,1.62177085876
22.4,1.62239074707
26.0,1.62296295166
25.2,1.62370204926
23.0,1.62394046783
29.5,1.62448883057
27.5,1.62460803986
11.2,1.62460803986
28.5,1.62460803986
31.8,1.62467956543
32.9,1.62467956543
37.5,1.62467956543
22.5,1.62467956543
27.7,1.62467956543
21.9,1.62518024445
8.6,1.62518024445
9.3,1.6284942627
8.5,1.63290500641
8.0,1.63428783417
6.1,1.63359642029
8.2,1.63395404816
4.0,1.63505077362
2.2,1.63512229919
3.8,1.63531303406
3.8,1.63533687592
6.1,1.63540840149
5.0,1.63509845734
5.6,1.63457393646
4.9,1.63466930389
4.5,1.63469314575
3.6,1.63471698761
3.0,1.63471698761
3.0,1.63478851318
25.9,1.63478851318
29.9,1.63478851318
16.6,1.6348361969
20.3,1.63486003876
29.0,1.63486003876
12.4,1.63486003876
42.6,1.63488388062
37.6,1.63488388062
16.4,1.63488388062
7.4,1.63488388062
15.8,1.63488388062
9.3,1.63488388062
13.9,1.63486003876
9.9,1.63526535034
14.4,1.63526535034
8.7,1.63526535034
13.5,1.63526535034
14.3,1.63567066193
16.0,1.63562297821
13.5,1.63626670837
10.6,1.63626670837
14.8,1.63626670837
11.4,1.63626670837
11.4,1.63626670837
7.9,1.63626670837
14.7,1.63626670837
13.3,1.63626670837
13.0,1.63636207581
17.1,1.63638591766
9.6,1.63638591766
10.6,1.63743495941
12.7,1.63743495941
26.1,1.66325569153
24.8,1.66325569153
15.1,1.66320800781
18.2,1.66323184967
29.1,1.66323184967
15.5,1.66349411011
13.2,1.66349411011
12.4,1.66349411011
7.9,1.66349411011
9.6,1.66349411011
14.1,1.66354179382
12.7,1.66366100311
6.8,1.66366100311
23.5,1.66366100311
15.7,1.66366100311
17.4,1.66354179382
24.7,1.66354179382
30.7,1.66354179382
7.8,1.66354179382
23.4,1.66354179382
30.2,1.66354179382
15.9,1.66356563568
27.7,1.66356563568
13.0,1.66356563568
16.0,1.66356563568
38.1,1.66356563568
28.5,1.66356563568
5.4,1.66356563568
43.6,1.66356563568
9.7,1.66356563568
26.1,1.66356563568
19.9,1.66356563568
1.0,1.66356563568
0.7,1.66356563568
23.1,1.66356563568
11.5,1.66356563568
38.1,1.66356563568
23.5,1.66356563568
15.4,1.66356563568
25.8,1.66356563568
20.0,1.66356563568
18.7,1.66356563568
32.8,1.66356563568
17.4,1.66356563568
27.8,1.66356563568
25.2,1.66356563568
26.1,1.66356563568
