cpu percent, memory percent
0.0,3.61795425415
8.3,3.62012386322
4.9,3.62043380737
4.6,3.62071990967
4.7,3.62105369568
5.6,3.62136363983
4.6,3.62169742584
4.7,3.62193584442
5.2,3.62231731415
5.2,3.6226272583
6.0,3.62360477448
5.4,3.6239862442
4.3,3.62424850464
3.8,3.62453460693
4.8,3.62491607666
4.8,3.62522602081
4.8,3.62548828125
5.0,3.62575054169
5.1,3.6260843277
5.1,3.62615585327
5.1,3.62648963928
5.6,3.61461639404
4.7,3.6149263382
5.1,3.61533164978
4.8,3.61564159393
5.0,3.61595153809
4.6,3.61623764038
4.7,3.61654758453
4.4,3.61680984497
15.5,3.59864234924
18.0,3.30011844635
5.0,3.3004283905
5.7,3.30076217651
5.1,3.30111980438
5.1,3.30145359039
4.9,3.30173969269
5.0,3.30204963684
4.9,3.30231189728
4.6,3.30264568329
4.8,3.30293178558
11.4,3.29072475433
5.1,3.29103469849
5.0,3.29146385193
4.6,3.29174995422
4.7,3.29208374023
5.2,3.29236984253
4.2,3.29275131226
4.9,3.29303741455
4.6,3.29337120056
4.8,3.29365730286
4.7,3.29399108887
5.1,3.29437255859
4.6,3.29461097717
5.2,3.29542160034
4.7,3.29570770264
5.6,3.29604148865
4.0,3.29625606537
5.8,3.2966375351
4.2,3.29685211182
5.6,3.29718589783
4.4,3.29749584198
5.6,3.29780578613
4.2,3.29806804657
6.1,3.29840183258
3.9,3.29868793488
5.7,3.29899787903
3.4,3.29923629761
5.1,3.29349040985
4.4,3.293800354
5.9,3.29411029816
4.0,3.29437255859
6.0,3.29463481903
4.0,3.29494476318
5.7,3.29530239105
4.1,3.29561233521
5.8,3.2958984375
3.8,3.29625606537
5.6,3.29661369324
4.0,3.29687595367
5.8,3.29718589783
4.2,3.29768657684
5.5,3.29806804657
3.8,3.29828262329
5.5,3.29859256744
4.8,3.29887866974
6.5,3.29933166504
4.1,3.29961776733
6.3,3.29995155334
4.0,3.30023765564
5.8,3.30054759979
3.8,3.3008813858
5.8,3.30114364624
4.2,3.30147743225
6.5,3.30181121826
4.4,3.3020734787
6.2,3.29649448395
4.0,3.29675674438
5.3,3.29706668854
3.9,3.29737663269
12.7,3.29031944275
4.6,3.29060554504
6.1,3.29093933105
4.4,3.29129695892
5.2,3.29158306122
3.6,3.29196453094
5.1,3.2922744751
4.5,3.29260826111
4.9,3.2928943634
4.8,3.29320430756
4.9,3.29351425171
4.6,3.29382419586
5.0,3.29415798187
4.6,3.29446792603
5.3,3.29480171204
4.7,3.29506397247
4.9,3.29542160034
4.7,3.29568386078
4.7,3.29599380493
4.9,3.29623222351
4.8,3.29656600952
