cpu percent, memory percent
0.0,8.39004516602
21.1,8.17036628723
34.2,8.17811489105
80.1,8.22443962097
49.8,8.2572221756
91.9,8.30290317535
65.9,8.32221508026
90.2,8.34968090057
63.3,8.35437774658
105.7,8.35995674133
44.0,8.37404727936
110.3,8.38415622711
105.6,8.39648246765
76.1,8.40463638306
34.6,8.40578079224
34.0,8.41362476349
33.1,8.41505527496
44.8,8.41627120972
30.5,8.41989517212
26.2,8.41434001923
25.0,8.41476917267
27.0,8.41536521912
63.3,8.41865539551
79.5,8.41872692108
87.7,8.42170715332
59.2,8.42373371124
82.7,8.42208862305
68.4,8.42308998108
41.7,8.42399597168
39.0,8.38816165924
93.8,8.3934545517
51.4,8.39502811432
74.9,8.39295387268
62.1,8.40320587158
84.2,8.40871334076
70.3,8.41424465179
91.1,8.4187746048
45.5,8.42597484589
15.9,8.40849876404
19.3,8.4136724472
39.1,8.41827392578
75.1,8.43081474304
50.0,8.46157073975
38.1,8.47523212433
18.2,8.48205089569
26.3,8.50741863251
17.3,8.50868225098
10.5,8.50911140442
18.3,8.50911140442
14.7,8.49990844727
18.6,8.50043296814
15.8,8.50093364716
36.8,8.50429534912
16.4,8.5067987442
29.7,8.50782394409
60.1,8.5168838501
27.9,8.51738452911
17.9,8.51788520813
8.1,8.51838588715
21.2,8.51972103119
56.1,8.52227210999
28.8,8.52282047272
20.9,8.52293968201
13.5,8.52348804474
10.2,8.52403640747
41.5,8.52398872375
30.1,8.52489471436
28.5,8.52537155151
27.4,8.52558612823
18.0,8.52007865906
91.2,8.52410793304
51.0,8.52160453796
26.0,8.52184295654
41.2,8.52811336517
11.6,8.5289478302
76.1,8.5773229599
49.7,8.57672691345
55.6,8.58247280121
23.8,8.58299732208
20.7,8.58373641968
35.0,8.58542919159
23.0,8.58631134033
22.2,8.58130455017
20.7,8.58216285706
32.9,8.58311653137
26.7,8.58361721039
25.4,8.58402252197
31.9,8.58449935913
19.7,8.58490467072
21.6,8.58552455902
40.7,8.58595371246
22.8,8.58643054962
13.8,8.58664512634
17.4,8.58733654022
24.1,8.59031677246
5.0,8.59100818634
2.3,8.56790542603
2.1,8.56812000275
3.7,8.56831073761
18.4,8.56475830078
9.4,8.56561660767
8.4,8.56592655182
4.1,8.56642723083
46.1,8.56711864471
75.0,8.39493274689
62.9,8.42249393463
30.8,8.42535495758
48.3,8.45239162445
41.4,8.4568977356
36.1,8.4584236145
7.2,8.45866203308
20.6,8.43324661255
85.0,8.47771167755
84.9,8.48236083984
79.4,8.50055217743
107.3,8.50071907043
81.7,8.51020812988
96.7,8.51719379425
90.9,8.51821899414
66.3,8.51929187775
