cpu percent, memory percent
6.0,2.00080871582
2.5,2.00090408325
31.0,2.00090408325
16.9,2.00090408325
18.9,2.00090408325
22.0,2.00090408325
24.3,2.00090408325
18.9,2.00045108795
15.7,2.00045108795
9.5,2.00045108795
13.8,2.00045108795
10.2,2.00068950653
16.7,2.00068950653
8.6,2.00068950653
11.0,2.00068950653
11.3,2.00068950653
13.8,2.00068950653
13.3,2.00054645538
12.9,2.00054645538
13.5,2.00068950653
16.9,2.00068950653
26.3,2.00064182281
22.5,2.00064182281
17.3,2.00064182281
13.4,2.00181007385
14.8,2.00176239014
12.4,2.01694965363
10.0,2.00748443604
10.3,2.01690196991
11.0,2.01284885406
11.7,2.00769901276
14.6,2.00815200806
6.8,2.00819969177
6.5,2.00839042664
5.5,2.00839042664
5.1,2.00841426849
6.3,2.00841426849
13.2,2.00805664062
15.1,2.00867652893
17.3,2.00872421265
17.5,1.98793411255
13.7,1.98795795441
19.1,1.98795795441
9.3,1.98795795441
5.3,1.988530159
20.4,1.988697052
34.3,1.988697052
30.8,1.988697052
10.9,1.988697052
16.0,1.988697052
12.1,1.988697052
12.3,1.988697052
11.3,1.988697052
18.1,1.988697052
11.0,1.988697052
15.5,1.988697052
20.1,1.988697052
22.2,1.988697052
22.8,1.988697052
21.3,1.988697052
27.4,1.988697052
12.9,1.988697052
15.2,1.988697052
14.4,1.988697052
14.9,1.988697052
13.6,1.988697052
5.7,1.988697052
10.5,1.988697052
8.4,1.988697052
10.0,1.988697052
10.7,1.988697052
9.0,1.988697052
19.7,1.988697052
15.2,1.988697052
19.1,1.988697052
18.5,1.988697052
7.3,1.988697052
4.9,1.988697052
16.4,1.988697052
10.6,1.988697052
22.4,1.988697052
17.7,1.988697052
20.7,1.988697052
16.6,1.988697052
9.8,1.988697052
19.8,1.988697052
3.2,1.988697052
3.2,1.988697052
3.5,1.988697052
20.9,1.988697052
29.7,1.988697052
3.5,1.988697052
15.2,1.988697052
23.7,1.988697052
16.7,1.988697052
17.9,1.988697052
18.7,1.988697052
26.9,1.988697052
24.1,1.988697052
22.7,1.988697052
15.8,1.988697052
14.5,1.98872089386
8.4,1.98917388916
5.5,1.98917388916
11.6,1.98917388916
9.3,1.98917388916
13.4,1.98917388916
10.6,1.98917388916
13.6,1.98917388916
13.1,1.98917388916
11.8,1.98912620544
14.6,1.98912620544
17.2,1.98912620544
11.8,1.98912620544
8.8,1.98912620544
28.4,1.98912620544
14.3,1.98912620544
14.3,1.98912620544
17.8,1.98912620544
11.2,1.98967456818
