cpu percent, memory percent
0.0,4.84139919281
3.2,4.84135150909
47.3,4.73680496216
35.9,4.51483726501
49.3,4.3402671814
65.6,4.38661575317
65.7,4.40456867218
83.5,4.43165302277
5.9,4.43186759949
28.4,4.43959236145
37.5,4.44316864014
42.8,4.43239212036
34.5,4.43642139435
66.8,4.45666313171
27.6,4.46026325226
40.0,4.47092056274
62.1,4.47795391083
76.6,4.50592041016
68.5,4.51006889343
39.1,4.5154094696
44.6,4.51772212982
50.7,4.52613830566
66.0,4.53164577484
28.9,4.53290939331
25.5,4.53383922577
27.6,4.52888011932
19.9,4.52921390533
38.0,4.49280738831
45.5,4.51028347015
63.3,4.53011989594
36.9,4.52055931091
46.3,4.57320213318
32.6,4.5868396759
15.3,4.57081794739
12.7,4.57127094269
16.3,4.57201004028
19.4,4.57327365875
30.7,4.57813739777
35.6,4.62782382965
32.7,4.65919971466
35.0,4.6079158783
45.6,4.64000701904
33.3,4.6674489975
26.5,4.65438365936
66.4,4.6590089798
61.4,4.6553850174
61.5,4.65755462646
44.3,4.66017723083
49.6,4.66301441193
36.2,4.66394424438
52.2,4.66675758362
104.9,4.66527938843
36.9,4.66742515564
76.6,4.6754360199
57.1,4.67584133148
14.5,4.67596054077
18.1,4.67672348022
97.7,4.79125976562
21.8,4.79218959808
33.3,4.79264259338
41.5,4.7954082489
36.8,4.79362010956
24.1,4.79393005371
28.6,4.79435920715
22.1,4.79528903961
48.4,4.80468273163
27.1,4.80585098267
23.7,4.80635166168
23.3,4.80692386627
26.4,4.80744838715
43.5,4.83040809631
21.0,4.8309803009
34.8,4.83155250549
26.6,4.82819080353
52.7,4.75282669067
43.4,4.75370883942
56.7,4.80201244354
38.2,4.79984283447
36.8,4.80465888977
7.6,4.80468273163
9.1,4.80587482452
28.0,4.80859279633
41.9,4.81157302856
36.3,4.80833053589
16.0,4.80842590332
23.5,4.80945110321
54.3,4.82699871063
15.0,4.82711791992
40.9,4.82933521271
51.3,4.83295917511
34.2,4.83348369598
43.9,4.83913421631
31.4,4.84068393707
92.3,4.82268333435
34.0,4.82442378998
7.0,4.82444763184
5.7,4.82444763184
52.7,4.8269033432
29.4,4.81102466583
40.8,4.81190681458
40.8,4.8125743866
6.1,4.81264591217
40.1,4.80940341949
62.8,4.8107624054
55.6,4.81188297272
52.0,4.80680465698
49.7,4.8079252243
41.9,4.80864048004
32.3,4.80930805206
57.4,4.81021404266
31.6,4.81095314026
3.4,4.81095314026
2.5,4.81095314026
2.5,4.81100082397
2.4,4.81100082397
31.3,4.77631092072
33.7,4.77783679962
46.0,4.78467941284
19.8,4.79083061218
3.8,4.79085445404
