cpu percent, memory percent
0.0,4.59294319153
3.1,4.59315776825
1.3,4.59337234497
4.5,4.5957326889
70.5,4.62286472321
32.4,4.62923049927
29.4,4.6492099762
52.6,4.65588569641
46.2,4.65447902679
40.4,4.65967655182
49.6,4.66482639313
55.1,4.6897649765
24.7,4.69105243683
56.2,4.68759536743
69.5,4.69286441803
58.1,4.69832420349
41.8,4.70058917999
51.1,4.70631122589
63.4,4.70969676971
63.3,4.71224784851
67.7,4.7164440155
40.9,4.69965934753
58.3,4.70099449158
38.1,4.70287799835
49.3,4.70464229584
89.5,4.70736026764
55.0,4.70941066742
44.3,4.71107959747
28.4,4.71196174622
14.4,4.71444129944
30.7,4.74481582642
26.6,4.74932193756
11.4,4.75518703461
21.2,4.76152896881
10.6,4.77180480957
14.6,4.78165149689
14.5,4.78241443634
11.1,4.78582382202
11.7,4.80284690857
11.7,4.80406284332
22.1,4.80408668518
8.4,4.80449199677
10.7,4.80463504791
22.0,4.80628013611
26.9,4.81202602386
29.0,4.81457710266
20.8,4.8159122467
17.9,4.81667518616
16.6,4.81686592102
24.3,4.81872558594
33.8,4.81989383698
41.2,4.85363006592
26.8,4.85517978668
22.5,4.85615730286
33.9,4.85863685608
33.5,4.8624753952
33.2,4.85861301422
39.9,4.85987663269
28.6,4.86102104187
58.0,4.86326217651
28.2,4.86414432526
45.1,4.86500263214
44.6,4.86633777618
39.6,4.86750602722
36.4,4.87103462219
39.4,4.87244129181
76.0,4.86936569214
34.5,4.86996173859
26.0,4.8712015152
38.4,4.8722743988
42.9,4.87339496613
45.6,4.87513542175
43.7,4.8698425293
33.5,4.87096309662
50.8,4.87415790558
44.4,4.87523078918
20.1,4.87544536591
35.5,4.87596988678
30.0,4.8766374588
37.6,4.87751960754
34.1,4.87830638885
21.8,4.87880706787
43.3,4.87961769104
23.7,4.87992763519
39.3,4.88297939301
45.8,4.87787723541
49.3,4.87930774689
58.7,4.88080978394
35.1,4.88159656525
90.8,4.88612651825
61.9,4.88770008087
18.6,4.88801002502
40.1,4.88908290863
43.5,4.88986968994
31.2,4.8905134201
44.1,4.8712015152
42.9,4.8725605011
32.8,4.86702919006
3.5,4.86242771149
3.7,4.86266613007
29.2,4.86810207367
31.1,4.8686504364
21.8,4.86967563629
31.1,4.87072467804
33.8,4.87196445465
54.5,4.87296581268
29.5,4.87406253815
27.3,4.87442016602
35.5,4.8751115799
30.7,4.87551689148
14.8,4.87585067749
39.9,4.87656593323
41.2,4.87713813782
43.4,4.87768650055
68.6,4.87065315247
58.1,4.87141609192
47.0,4.87201213837
60.4,4.87577915192
51.6,4.90477085114
38.7,4.90789413452
